iter	Passed	Remaining
713	6403	2564
714	6413	2556
715	6423	2547
716	6431	2538
717	6440	2529
718	6449	2520
719	6458	2511
720	6468	2503
721	6477	2494
722	6485	2484
723	6495	2475
724	6504	2467
725	6514	2458
726	6522	2449
727	6531	2440
728	6540	2431
729	6550	2422
730	6558	2413
731	6567	2404
732	6576	2395
733	6584	2386
734	6593	2377
735	6602	2368
736	6610	2358
737	6618	2349
738	6628	2340
739	6636	2331
740	6644	2322
741	6653	2313
742	6662	2304
743	6671	2295
744	6680	2286
745	6688	2277
746	6697	2268
747	6706	2259
748	6714	2250
749	6722	2240
750	6731	2231
751	6740	2222
752	6749	2214
753	6758	2204
754	6767	2195
755	6775	2186
756	6783	2177
757	6792	2168
758	6802	2159
759	6810	2150
760	6820	2141
761	6829	2132
762	6837	2123
763	6846	2114
764	6855	2105
765	6863	2096
766	6873	2087
767	6881	2078
768	6890	2069
769	6899	2060
770	6907	2051
771	6915	2042
772	6924	2033
773	6933	2024
774	6941	2015
775	6950	2006
776	6960	1997
777	6968	1988
778	6977	1979
779	6985	1970
780	6994	1961
781	7004	1952
782	7012	1943
783	7021	1934
784	7030	1925
785	7039	1916
786	7047	1907
787	7056	1898
788	7065	1889
789	7074	1880
790	7083	1871
791	7092	1862
792	7101	1853
793	7110	1844
794	7119	1835
795	7128	1826
796	7137	1817
797	7146	1808
798	7153	1799
799	7163	1790
800	7172	1781
801	7181	1772
802	7189	1763
803	7199	1755
804	7208	1746
805	7217	1737
806	7226	1728
807	7235	1719
808	7244	1710
809	7253	1701
810	7261	1692
811	7269	1683
812	7278	1674
813	7286	1665
814	7295	1656
815	7304	1646
816	7312	1637
817	7321	1628
818	7330	1620
819	7338	1610
820	7347	1602
821	7357	1593
822	7365	1584
823	7374	1575
824	7383	1566
825	7392	1557
826	7400	1548
827	7409	1539
828	7417	1530
829	7425	1520
830	7434	1511
831	7443	1502
832	7452	1494
833	7461	1485
834	7469	1476
835	7477	1466
836	7485	1457
837	7494	1448
838	7503	1439
839	7511	1430
840	7519	1421
841	7527	1412
842	7536	1403
843	7546	1394
844	7555	1385
845	7563	1376
846	7571	1367
847	7580	1358
848	7589	1349
849	7599	1341
850	7607	1332
851	7615	1322
852	7624	1314
853	7634	1305
854	7642	1296
855	7652	1287
856	7661	1278
857	7669	1269
858	7678	1260
859	7687	1251
860	7696	1242
861	7705	1233
862	7714	1224
863	7723	1215
864	7731	1206
865	7739	1197
866	7748	1188
867	7757	1179
868	7765	1170
869	7774	1161
870	7782	1152
871	7792	1143
872	7800	1134
873	7809	1125
874	7818	1116
875	7826	1107
876	7835	1099
877	7844	1089
878	7852	1080
879	7860	1071
880	7869	1062
881	7878	1054
882	7887	1045
883	7896	1036
884	7905	1027
885	7914	1018
886	7923	1009
887	7931	1000
888	7939	991
889	7949	982
890	7957	973
891	7965	964
892	7974	955
893	7983	946
894	7992	937
895	8001	928
896	8010	919
897	8019	910
898	8028	901
899	8036	892
900	8045	884
901	8055	875
902	8063	866
903	8072	857
904	8082	848
905	8091	839
906	8099	830
907	8107	821
908	8116	812
909	8125	803
910	8133	794
911	8142	785
912	8152	776
913	8161	767
914	8168	758
915	8177	749
916	8186	740
917	8195	732
918	8203	723
919	8212	714
920	8222	705
921	8230	696
922	8238	687
923	8247	678
924	8256	669
925	8264	660
926	8274	651
927	8283	642
928	8292	633
929	8301	624
930	8309	615
931	8318	606
932	8326	597
933	8334	588
934	8343	580
935	8352	571
936	8360	562
937	8368	553
938	8377	544
939	8386	535
940	8394	526
941	8403	517
942	8411	508
943	8421	499
944	8429	490
945	8438	481
946	8447	472
947	8456	463
948	8465	454
949	8474	446
950	8483	437
951	8492	428
952	8501	419
953	8509	410
954	8519	401
